id,name,lat,lon
45,45,41.28135908010892,1.9857060609190949
46,46,41.28144308687182,1.9808129751225607
48,48,41.276509103528284,1.9759204289268093
50,50,41.281610450594506,1.9710284224136227
68,68,41.28629217407149,1.9905996862356308
70,70,41.281274856654065,1.99059968623542
77,77,41.2660511171611,2.000388555101749
441,441,41.31128755327291,1.995493850991547
444,444,41.306272489973296,1.9954938509913376
445,445,41.30618782328627,2.0003885551034397
446,446,41.31120288466547,2.0003885551036524
447,447,41.311117999131575,2.0052837984916465
448,448,41.306102939677764,2.005283798491435
449,449,41.30601783907958,2.0101795810739223
462,462,41.2959863725093,2.0101795810734977
476,476,41.28629217407149,1.9905996862356308
487,487,41.281274856654065,1.99059968623542
490,490,41.2660511171611,2.000388555101749
517,517,41.275316331289936,2.044465149748445
564,564,41.35631815554281,2.000388555105554
575,575,41.33610142472724,2.0101795810751963
614,614,41.3207190629589,2.0297681017198417
625,625,41.33610142472724,2.0101795810751963
638,638,41.31128755327291,1.995493850991547
640,640,41.31120288466547,2.0003885551036524
641,641,41.311117999131575,2.0052837984916465
642,642,41.306102939677764,2.005283798491435
643,643,41.30601783907958,2.0101795810739223
645,645,41.31094757701167,2.0150759027696723
648,648,41.3210616598919,2.0101795810745595
650,650,41.315962182032216,2.0150759027698864
651,651,41.31587664337233,2.01997276349698
652,652,41.32089079584367,2.019972763497194
667,667,41.275316331289936,2.044465149748445
689,689,41.29019433533008,2.054265874613611
714,714,41.284915041579076,2.0689709995393017
715,715,41.289931877226195,2.068970999539522
745,745,41.36208309505599,1.9563556417804593
763,763,41.356655597467366,1.9808129751256958
791,791,41.35631815554281,2.000388555105554
906,906,41.407732665407046,1.9221380576225615
908,908,41.412657276411984,1.9270246628617613
944,944,41.406572580389934,1.9905996862406723
963,963,41.406572580389934,1.9905996862406723
967,967,41.411324505742414,2.0052837984958822
983,983,41.39129764066028,2.005283798495035
988,988,41.391212507623926,2.0101795810775323
994,994,41.39095580539388,2.024870163177302
1018,1018,41.4119144148409,1.9710284224190269
1051,1051,41.406572580389934,1.9905996862406723
1095,1095,41.41624495094753,2.0101795810785914
1106,1106,41.406572580389934,1.9905996862406723
1110,1110,41.411324505742414,2.0052837984958822
1132,1132,41.407732665407046,1.9221380576225615
1134,1134,41.412657276411984,1.9270246628617613
1355,1355,41.446860499360064,1.9759204289338936
1356,1356,41.45186293620357,1.9759204289341021
1374,1374,41.44652379091324,1.995493850997232
1429,1429,41.446860499360064,1.9759204289338936
1430,1430,41.45186293620357,1.9759204289341021
1453,1453,41.44652379091324,1.995493850997232
1472,1472,41.4510146355794,2.024870163179866
1509,1509,41.4510146355794,2.024870163179866
1560,1560,41.47076104120354,2.0395655950960627
1574,1574,41.480412834587554,2.0591670446619026
1575,1575,41.4805001764436,2.0542658746218687
1580,1580,41.49058533852865,2.0493652429601434
1621,1621,41.49505763227052,2.0787771069621974
1625,1625,41.49514585186568,2.0738737842304094
1631,1631,41.49005930281677,2.0787771069619776
1634,1634,41.47997285529497,2.0836809676610812
1635,1635,41.474973171312364,2.0836809676608614
1646,1646,41.46506087359452,2.0787771069608776
1647,1647,41.470061463548156,2.0787771069610974
1648,1648,41.469973035278,2.0836809676606407
1651,1651,41.464794939745005,2.0934903026340526
1653,1653,41.46988438876648,2.0885853662457725
1658,1658,41.474706571021954,2.0983957767441046
1659,1659,41.47970624925427,2.0983957767443266
1692,1692,41.44514219512633,2.073873784228216
1703,1703,41.43522401951873,2.068970999545875
1712,1712,41.42977819815516,2.0934903026325005
1727,1727,41.424236327693905,2.1229312102238214
1755,1755,41.42915013531457,2.1278399089300066
1813,1813,41.395790965948784,2.034666579055394
1843,1843,41.41624495094753,2.0101795810785914
1855,1855,41.39095580539388,2.024870163177302
1865,1865,41.43522401951873,2.068970999545875
1877,1877,41.42977819815516,2.0934903026325005
1890,1890,41.424236327693905,2.1229312102238214
1900,1900,41.43888468746018,2.1425692275810535
1901,1901,41.43388141187709,2.1425692275808257
1902,1902,41.4339724496889,2.137658917691187
1909,1909,41.42915013531457,2.1278399089300066
1914,1914,41.42887768464215,2.142569227580599
1920,1920,41.40885826010124,2.1425692275796893
1921,1921,41.40385227529541,2.142569227579461
1922,1922,41.40394330111676,2.1376589176898255
1923,1923,41.4089492879284,2.1376589176900516
1924,1924,41.40904009682228,2.1327491447789573
1925,1925,41.40403410800971,2.1327491447787303
1926,1926,41.40412469604238,2.1278399089288795
1927,1927,41.40913068685101,2.127839908929104
1928,1928,41.41413622622853,2.127839908929329
1929,1929,41.41404563420669,2.1327491447791833
1935,1935,41.419321845800866,2.1180230487441345
1947,1947,41.4042150652829,2.1229312102229203
1948,1948,41.39920862109507,2.1229312102226947
1954,1954,41.3944715093002,2.1082083377937635
1955,1955,41.39438179998928,2.1131154245726083
1956,1956,41.38937444917842,2.1131154245723818
1957,1957,41.389464156503976,2.1082083377935406
1958,1958,41.384456352449405,2.108208337793318
1959,1959,41.384366647112095,2.1131154245721593
1960,1960,41.38427672320657,2.118023048742561
1962,1962,41.3891943787398,2.1229312102222435
1963,1963,41.38418658066469,2.1229312102220215
1964,1964,41.38409621941835,2.1278399089279745
1965,1965,41.38400563939939,2.132749144777825
1966,1966,41.3890134334637,2.1327491447780518
1967,1967,41.389104015490496,2.1278399089282023
1968,1968,41.394111360315996,2.127839908928426
1969,1969,41.39911825384868,2.127839908928652
1971,1971,41.3940207762843,2.132749144778278
1972,1972,41.39392997340209,2.137658917689372
1973,1973,41.39893686292596,2.137658917689598
1974,1974,41.398845839113385,2.1425692275792336
